id,title,image_link,country,years,director_description,leader,star,description,tags,imdb,language,time_length,Unnamed: 13
0,The Adventures of Li Xianji,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1199893304.jpg,Chinese mainland,2011-10-01(中国大陆),Guo Fan,"['Fang Zuming', 'Wang Ziwen', 'Jiang Wu', 'Yao Lu', 'Fan Ming', 'Yano Koji', 'You Benchang', 'Chen Yufan', 'Hu Haiquan', 'Li Xiang', 'Bai Kainan']",6.4,"After Li Xianji (Jaycee Chan) broke up with his girlfriend Wang Qian (Wang Ziwen), he found it difficult to accept this painful reality, so much so that he fell back into the cycle of jet lag syndrome. He travels through his own time and space, recalling his childhood when he was punished by the teacher for reading extracurricular books, his absent-mindedness towards his father (played by Jiang Wu)'s severe criticism, his yearning for his second uncle (played by Yao Lu) who is proficient in electronic repair, his obsession with video games, his indifference and disgust towards his colleagues in the company, and of course, every detail of his relationship with his girlfriend. He does not want to be cured of jet lag, because he still has illusions about going back to the past, and even sells his kidneys and builds metal arms to complete his dream of beating the game. However, the cruelty of reality has drawn him into the traps of various characters such as the police (played by Bai Kainan), policeman Xiao Yin (played by Li Xiang), Dr. Ma (played by Fan Ming), and Japanese liar (played by Yano Koji)...
                                    
                                This film is adapted from the famous online animation video created by Li Yang in 2009.",Romance/Fantasy/Adventure,https://www.imdb.com/title/tt2258443,Mandarin Chinese / Japanese / English,90分钟,
1,new world 신세계,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,South Korea,2013-02-21(韩国),Park Hoon Jung,"['Lee Jung Jae', 'Choi Min Sik', 'Hwang Jung Min', 'Song Ji Hyo', 'Park Sang Woong', 'Kim Byung Ok', 'Kim Yoon Sung']",8.8,"The chairman of the Kinmen Group and a violent organization was killed in a car accident in Shidongchu, the leader of the Tiger Faction. The incident caused quite a stir in both black and white circles. In order to prevent the Golden Gate Group from further penetrating into the legal field and continuing to grow, the police promptly proposed the ""New World Plan"" aimed at intervening in the election of the Golden Gate Group's successor boss. Regarding the title of president, Ding Qing (played by Huang Zhengmin), the third person in Kinmen, who was born as an overseas Chinese, and Li Zhongjiu (played by Park Shengxiong), the number four executive director, launched a series of open and covert battles. In this current crisis-ridden situation, police chief Jiang (played by Choi Min-sik) orders Li Zicheng (played by Lee Jung-jae), who has been undercover for ten years, to influence the election results. Zicheng met Ding Qing six years ago and gained his respect and trust. Zicheng, who had long been tired of the underworld life, had no choice but to accept the order, but undoubtedly plunged himself into a very dangerous black whirlpool.
                                    
                                A battlefield full of blood and desire, when will the new world come?",Drama/Crime,https://www.imdb.com/title/tt2625030,Korean / Mandarin Chinese,134分钟,
2,Hanamizuki Hatsuki,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p640233159.jpg,Japan,2010-08-21(日本),Doi Yuyasu,"['Yui Aragaki', 'Toma Ikuta', 'Ri Mukai', 'Hiroko Yakushimaru', 'Renbutsu Misako']",7.2,"1996, Hokkaido East. Because of an exam that cannot be missed, the beautiful girl Sae Hirasawa (played by Yui Aragaki) meets the sunny boy Kiuchi Yasuhei (played by Toma Ikuta). However, this encounter did not go smoothly. Kangping delayed Sae's exam because of a car accident while driving, and he was ordered to drop out of school. A bad beginning does not have a bad ending. From this, Kangping and Sae fell in love and became a couple. As graduation approaches, their relationship is also facing tests. Kohei inherited the family business and became a fisherman fighting the sea, while Sae went through arduous preparations and was admitted to the prestigious Waseda University in Tokyo. Time and space became the biggest obstacles between them. During this period, Kang Ping's family faced bankruptcy and his livelihood was struggling. Sae is also constantly frustrated in her job search. The relationship between the two seems to be slowly dying...
                                    
                                The idea of this film comes from the song of the same name written by Yi Qingyao.",Drama/Romance,https://www.imdb.com/title/tt1629284,Japanese,128分钟,
3,Tears of the Fallen City,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1319547030.jpg,Chinese mainland,2011-12-22(中国大陆),Huang Zhenzhen,"['Zhou Dongyu', 'Li Zhiting', 'Yen Xianqi', 'Gigi Leung', 'Dou Xiao', 'Chen Qiaoen']",4.9,"First tear: Geili Mei (played by Zhou Dongyu), a beautiful girl suffering from bone cancer, has not been frightened by the disease. She infects every patient in the hospital with her optimistic spirit. Under her inspiration, the hospital, which should have been gloomy and melancholy, became like a paradise on earth. On this day, the rich second-generation Youyou (played by Li Zhiting) who suffered from brain cancer was admitted to the hospital. His despair and anger were quickly dispelled by the smiles on Limei and the children, and the hospital became the last happy station in their lives;
                                    
                                The second tear: The Lutheran Conservatory of Music, which has cultivated countless talents, is facing bankruptcy. In order to save the school and fulfill his late wife's wish, Principal Chen decided to call the graduating students back to school to hold a concert. Ding Dake (played by Simon Yam), who had been in love with his classmate, the now internationally famous violinist Yang Lin (played by Gigi Leung), was ordered to invite Yang Lin to attend;
                                    
                                The third tear: Chen Sheng (played by Dou Xiao), a young man from the bottom, finally achieved something in his career after hard work. When he was about to marry his girlfriend Xiaocai (played by Chen Qiaoen) who he had been in love with for many years, an accident suddenly happened.",Drama/Romance,https://www.imdb.com/title/tt2170573,Mandarin Chinese,108分钟,
4,Legend of the Wicked 악인전,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555084871.jpg,South Korea,2019-05-15(韩国),Li Yuantai,"['Ma Dong-seok', 'Kim Moo-yeol', 'Kim Sung-kyu', 'Yoo Seung-mu', 'Choi Min-cheol', 'Kim Yoon-sung', 'Heo Dong-won', 'Oh Hee-joon', 'Yang Ji-soo', 'Kim Gyeol', 'Lee Eun-cheon', 'Yoo Jae-myeong']",7.7,"Criminal kingpin Jang Dong-soo (Don Lee) survives a violent attack by a mysterious serial killer and forms a strange partnership with local police detective Jung Tae-suk (Kim Moo Yul) to capture the sadistic killer known as ""K.""",Drama/Action/Crime,https://www.imdb.com/title/tt10208198,Korean,109分钟,
5,Rust and Bone,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1766507291.jpg,France/Belgium,2012-05-17(法国),Jacques Audiard,"['Matthias Schoenaerts', 'Marion Cotillard', 'Burley Lanell', 'Armand Verdure', 'Celine Celine', 'Corinne Masiero', 'Jean-Michel Correia']",7.6,"The ordinary-looking Ali (played by Matthias Schoenaerts) was once a glorious fighter. Since his injury, he has lost his livelihood. When he was destitute, he took his son Sam (played by Armand Verdure) to seek refuge with his sister and found a bodyguard job locally. One night, Ali meets Stephanie (Marion Cotillard), a beautiful woman who has a dispute with others. Stephanie is a killer whale trainer. However, this girl who has no worries about food and clothing and is surrounded by a halo every day has her legs taken away by a killer whale during a routine performance. Men and women who have experienced different lives, their fates unexpectedly overlap...
                                    
                                The film is adapted from the collection of short stories of the same name by Canadian novelist Craig Davidson. It won the Best Actor Award (Matthias Schoenaerts), Best Director Award and Best Screenplay Award at the 2012 Valladolid International Film Festival in Spain.",plot,https://www.imdb.com/title/tt2053425,French,120分钟,
6,Xuanzang of the Tang Dynasty,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2339564405.jpg,Chinese mainland,2016-04-29(中国大陆),Huo Jianqi,"['Huang Xiaoming', 'Xu Zheng', 'Pubajia', 'Luo Jin', 'Tang Zhenye', 'Jinrong', 'Tan Kai', 'Jiang Chao', 'Zhao Liang', 'Che Xiao', 'Lou Jiayue', 'Zhao Wenxuan']",5.3,"The film tells the legendary story of Xuanzang, an eminent monk from the Tang Dynasty who traveled to Tianzhu to learn Buddhist scriptures over a period of 17 years, despite all hardships and obstacles. During the heyday of the Tang Dynasty, the young Master Xuanzang (played by Huang Xiaoming) risked his life and smuggled out of the country in order to seek the true meaning of Buddhism. Along the way, he encountered numerous obstacles, natural and man-made disasters, but he also suffered a lot from the people. Surrounded by officers and soldiers, betrayed by his disciples, buried in a sea of ​​sand, without water or food, Master Xuanzang devoted himself to seeking the Dharma and finally arrived in India, where he promoted good thoughts and meditated on Buddhism. By the time he returned home after successfully debating at the Wu Zha Conference, he was already over fifty years old.",history,https://www.imdb.com/title/tt5684550,Mandarin Chinese,120分钟,
7,Tinker Tailor Soldier Spy Tinker Tailor Soldier Spy,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1202175107.jpg,UK / France / Germany,2011-09-16(英国),Thomas Alfredson,"['Gary Oldman', 'Colin Firth', 'Tom Hardy', 'John Hurt', 'Toby Jones', 'Mark Strong', 'Benedict Cumberbatch', 'Ciaran Hinds', 'David Dencik']",7.9,"During the Cold War, the world's two major spy organizations, the Russian ""Centre"" and the British ""Roundhouse"", fought openly and covertly. The agent was killed, and the top management was furious and ordered the ""Square"" to dig out the ""gopher"". There are five people under suspicion, namely the tinker, tailor, soldier, poor man and beggar named by the previous ""boss"" of the Circus. Among them, the ""beggar"" George Smiley (Gary Oldman) who washed his hands in a golden basin was originally a major suspect. One day, Peter Gillam (Benedict Cumberbatch), the leader of the action team-scalping team, and Lacon, the intelligence director of the British Cabinet Office, eliminated Smiley's suspicion and ordered him to come back and be responsible for digging out the ""gopher."" As a result, Smiley began to visit his old friends respectively, investigating Alleline, the boss of the Circus, Bill Haydon, the tailor (Colin Firth), Roy Brand, the soldier who was a senior spy in charge of Eastern European affairs, and Toby Esterhas, the poor man, the leader of the street lighting team of the logistics department. For a time, the Circus was filled with doubts and everyone was in danger. Who is the ""gopher""...
                                        
                                    The film is based on John le Carré's novel of the same name...",Drama/Suspense/Thriller,https://www.imdb.com/title/tt1340800,English / French / Russian / Hungarian / Turkish,127分钟,
8,Close love Close love,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2207808539.jpg,Japan,2014-10-11(日本),Xiong Zeshanren,"['Yamashita Tomohisa', 'Komatsu Nana', 'Mizukawa Asami', 'Kotaki Wang', 'Yamamoto Mitsuki', 'Arai Hirofumi']",6.2,"Junki Shumu (played by Komatsu Nana), a 16-year-old student in a certain high school, has an extremely bright mind. Although she often ranks first in the grade, she always deliberately hides her emotions for some reason. It is difficult for others to see any emotional fluctuations in her poker-like expression. Only her good friend Nami (played by Yamamoto Mizuki) in junior high school can enter Junki's inner world. In the latest mid-term exam, Runxi's English score was only 0 points. This made Haruka Sakurai (played by Yamashita Tomohisa), the class teacher, quite annoyed, so he arranged to make up lessons for Runxi regardless of whether the girl wanted it or not. Sakurai is handsome and confident, and is the idol of female students, but Junxi hates this arrogant guy. In order to get rid of Teacher Sakurai, she tried her best to learn English. However, when the extra lesson ended unexpectedly, she finally realized that the emotions in her heart had quietly changed...
                                    
                                This film is adapted from the manga of the same name by Miyuki Rin.",love,https://www.imdb.com/title/tt3688018,Japanese,118分钟,
9,Transcendence,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2178116605.jpg,United States / Mainland China / United Kingdom,2014-04-18(中国大陆/美国),Wally Pfister,"['Johnny Depp', 'Rebecca Hall', 'Paul Bettany', 'Cillian Murphy', 'Kate Mara', 'Cole Hauser', 'Morgan Freeman', 'Clifton Collins Jr.', 'Corey Hardrick', 'Farke Huntschel', 'Josh Stewart', 'Xander Beckley']",6.6,"In the near future, genius scientist Will Custer (played by Johnny Depp) has developed ""Pin"", the artificial intelligence robot closest to humans. While he has gained reputation from the scientific community, he has also been criticized and criticized by countless opponents. After a certain meeting, Will was shot by a member of a radical organization. Although he narrowly escaped, the bullet coated with radioactive material slowly eroded Will's life. Will's wife and research partner Evelyn (Rebecca Hall) is naturally in pain, but she and her husband's friend Max (Paul Bettany) manage to digitize Will's consciousness and upload it to a smart computer. Miraculously and fortunately, Will successfully resurrected in the virtual world.
                                    
                                His genius mind and advanced technology are perfectly integrated, but no one can imagine whether this situation will be a blessing or a disaster for mankind...",Action/Romance/Science Fiction,https://www.imdb.com/title/tt2209764,English / Mandarin Chinese,113分钟(中国大陆),
