id,title,image_link,country,years,director_description,leader,star,description,all_tags,imdb,language,time_length,Unnamed: 13
0,The Shawshank Redemption The Shawshank Redemption,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,USA,1994-09-10(多伦多电影节),Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'Mark Rolston', 'James Whitmore', 'Jeffrey German', 'Larry Brandenberg', 'Neal Giuntoli', 'Brian Libby', 'David Proval', 'Joseph Laugnot', 'Zude Sekerila', 'Paul McCraney', 'Renee Bryan', 'Alfonso Freeman', 'V.J. Foster', 'Frank Medrano', 'Mark Myers', 'Neal Summers', 'Ned Barami', 'Brian Dylat', 'Don McManus']",9.7,"Before long, Andy tried to get close to the prestigious Reid (Morgan Freeman) among the prisoners and asked him to help him get a small hammer. Taking this as an opportunity, the two gradually became acquainted with each other, and Andy seemed to find his own way of survival in a prison where fish and dragons were mixed, crime was everywhere, and black and white were confused. He used his professional knowledge to help prison management evade taxes and launder money. At the same time, he gradually gained courtesy among prisoners by virtue of his association with Red. On the surface, he has changed from hating the high wall to being calm like Rhett, but his desire for freedom still pushes him toward the hope and goal in his heart. about his crime seems to make all this move forward...
                                        
                                    The film is based on the novel by the famous writer Stephen Edwin King...",Drama/Crime,https://www.imdb.com/title/tt0111161,English,142分钟,
1,Farewell My Concubine,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,"Mainland China/Hong Kong, China",1993-01-01(中国香港),Chen Kaige,"['Leslie Cheung', 'Zhang Fengyi', 'Gong Li', 'Ge You', 'Yingda', 'Jiang Wenli', 'David Wu', 'Lu Qi', 'Lei Han', 'Yin Zhi', 'Ma Mingwei', 'Fei Zhenxiang', 'Zhi Yitong', 'Li Chun', 'Zhao Hailong', 'Li Dan', 'Tong Di', 'Shen Huifen', 'Huang Fei', 'Xu Jie']",9.6,"Duan Xiaolou (Zhang Fengyi) and Cheng Dieyi (Leslie Cheung) grew up together as brothers. One acted as a female actor and the other acted as a female actor. They have always worked together flawlessly, especially in ""Farewell My Concubine"", which became famous in the capital. For this reason, the two agreed to co-star in ""Farewell My Concubine"" for the rest of their lives. However, the two have fundamentally different understandings of the relationship between drama and life. Duan Xiaolou understands that drama is not life, while Cheng Dieyi is indifferent between drama and drama.
                                    
                                Duan Xiaolou married the famous prostitute Juxian (Gong Li) when he thought it was time to start a family and start a business. Cheng Dieyi believed that Juxian was a shameful third party, making Duan Xiaolou a traitor. From then on, the love-hate battle between the three people around the play ""Farewell My Concubine"" began to escalate with the changes of the times, eventually leading to tragedy.",Drama/Romance/Same-sex,https://www.imdb.com/title/tt0106332,Mandarin Chinese,171分钟,
2,Forrest Gump,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg,USA,1994-06-23(洛杉矶首映),Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field', 'Haley Joel Osment', 'Michael Connor Humphries', 'Harold G. Hertham', 'Sam Anderson', 'Ione M. Treach', 'Peter Dobson', 'Shivonne Fallon', 'Elizabeth Hanks', 'Hannah Hall', 'Christopher Jones', 'Rob Landry', 'Jason McGuire', 'Sonny Schroyer', 'Ed Davis', 'Daniel C. Thripek', 'David Brisbin', 'Deborah McTeer', 'Al Harrington', 'Afimo O'Meara', 'John Wardstad', 'Michael Burgess', 'Eric Underwood', 'Byron Mings', 'Stephen Boogiewater', 'John William Galt', 'Hilary Shapland', 'Isabel Rose', 'Richard D'Alessandro', 'Dick Stillwell', 'Michael Jace', 'Jeffrey Blake', 'Vanessa Rose', 'Dick Cavett', 'Mara Sucharetza', 'Joe Alaschi', 'W. Benson Terry']",9.5,"Forrest Gump (played by Tom Hanks) was born in a remote town in Alabama in the south of the United States shortly after the end of World War II. He was born mentally retarded with an IQ of only 75. However, his mother was a woman with a strong personality. She often encouraged Forrest Gump that ""foolish people are blessed"" and asked him to strive for self-improvement.
                                    
                                Forrest Gump went to school like an ordinary child, and met his lifelong friend and love Jenny (played by Robin Wright Penn). Under the love of Jenny and her mother, Forrest Gump started running non-stop throughout his life with the ""scud"" given by God.
                                    
                                Forrest Gump became a rugby superstar, a Vietnam War hero, a table tennis diplomatic envoy, and a billionaire. However, he could never forget Jenny. Several hasty reunions and partings deepened Forrest Gump's miss.
                                    
                                One day, A-Gump received a letter from Jenny, and they finally met again...",Drama/Romance,https://www.imdb.com/title/tt0109830,English,142分钟,
3,This killer is not too cold Léon,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,France,1994-09-14(法国),Luc Besson,"['Jean Reno', 'Natalie Portman', 'Gary Oldman', 'Danny Aiello', 'Peter Appel', 'Michael Badalucco', 'Ellen Greeney', 'Elizabeth Regan', 'Carl Matusvich', 'Frank Sager', 'McWayne', 'George Martin', 'Robert Lasado', 'Adam Busch', 'Mario Todisco', 'Sami Nasseli']",9.4,"Lyon (played by Jean Reno) is a lonely professional killer who is hired by others. One day, the little neighbor girl Matilda (Natalie Portman) knocked on his door and asked to stay with him to avoid the danger of murder. It turns out that the owner of the neighbor's house was an informant of the police anti-narcotics team. He was punished by the police (Gary Oldman) who killed his entire family just because he embezzled a small package of drugs. Matilda was rescued by Lyon, survived, and stayed with Lyon. Lyon taught the little girl how to use a gun, and she taught Lyon French. The relationship between the two became increasingly close and they got along harmoniously.
                                    
                                The girl wanted to take revenge, but was caught instead. Leon arrived in time and rescued the girl. The battle between good and evil, mixed with sorrow, resentment, love and hatred, is gradually escalating, and greater conflicts are inevitable...",Drama/Action/Crime,https://www.imdb.com/title/tt0110413,English / Italian / French,110分钟(剧场版),
4,Beautiful life La vita è bella,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,Italy,2020-01-03(中国大陆),Roberto Bernini,"['Roberto Bernini', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano', 'Sergio Bini Busterik', 'Marissa Paredes', 'Horst Buchholz', 'Lidia Alfonsi', 'Giuliana Lojodice', 'Amerigo Fontani', 'Peter de Silva', 'Frances Guzzo', 'Rafaela Leboroni', 'Claudio Alfonsi', 'Giel Baroni', 'Massimo Bianchi', 'Ennio Consalvi', 'Giancarlo Cosentino', 'Aaron Craig', 'Hannes Herrmann', 'Franco Mescolini', 'Antonio Prest', 'Gina Novelle', 'Richard Semel', 'Andre Tidona', 'Dilke Vandenberg', 'Omero Antonuti']",9.5,"The Jewish young man Guido (Roberto Bernini) meets the beautiful female teacher Dora (Nikoleta Braschi). He politely bows to Dora: ""Good morning! Princess!"". After many ridiculous twists and turns, God fulfilled his wish and the two lived happily together.
                                    
                                However, the good times did not last long. Under the fascist regime, Guido and his son were forcibly sent to a Jewish concentration camp. Although Dora had no Jewish ancestry, she walked resolutely and was detained in a concentration camp separately from her husband and son. The smart and optimistic Guido coaxes his son that this is just a game, and the prize is a big tank. His son lives happily and innocently in the haze of the Nazis. Despite the hardship and loneliness of life in the concentration camp, Guido still brought a lot of happiness to others. He also took the opportunity to greet his wife on the Nazi radio: ""Good morning! Princess!""
                                    
                                The fascist regime is about to overthrow, and the Nazi concentration camps will soon undergo final liquidation. How will the game Guido compiled for his son end? Can their family survive this dark age safely?",Drama/Comedy/Romance/War,https://www.imdb.com/title/tt0118799,Italian / German / English,116分钟,
5,Titanic,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,USA,1998-04-03(中国大陆),James Cameron,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates', 'Frances Fisher', 'Gloria Stewart', 'Bill Paxton', 'Bernard Hill', 'David Warner', 'Victor Garber', 'Jonathan Hyde', 'Susie Amis', 'Lewis Abernathy', 'Nicholas Cascoen', 'Anatoly Sagalovich', 'Danny Nucci', 'Jason Berry', 'Ewan Stewart', 'Ioan Gruffudd', 'Jonathan Phillips', 'Mark Lindsay Chapman', 'Richard Graham', 'Paul Brightwell', 'Eric Breeden', 'Charlotte', 'Bernard Fox', 'Michael Insain', 'Fanny Brett', 'Martin Jarvis', 'Rosalyn Ayres', 'Rochelle Ross', 'Jonathan Evans-Jones', 'Simon Crane', 'Edward Fletcher', 'Scott Anderson', 'Martin East', 'Craig Kelly', 'Gregory Cook', 'Liam Tuohy', 'James Lancaster', 'Elsa Raven', 'Lou Part', 'Terry Forrestal', 'Kevin de la Noy']",9.4,"On April 10, 1912, the luxury liner Titanic, known as the ""miracle in the history of world industry"", began her maiden voyage from Southampton, England to New York, the United States. Rich girl Rose (Kate Winslet) boarded the first-class cabin with her mother and fiancé Carl; on the other hand, the bohemian young painter Jack (Leonardo DiCaprio) also won a lower-class ticket in a gamble at the pier.
                                    
                                Rose was tired of the hypocritical life in the upper class and was unwilling to marry Carl. She planned to commit suicide by throwing herself into the sea, but was rescued by Jack. Soon, the beautiful and lively Rose fell in love with the handsome and cheerful Jack. Jack took Rose to a dance in the lower cabin and took her portrait, and their relationship gradually heated up.
                                    
                                April 14, 1912, Sunday night, a calm night. The Titanic hits an iceberg, the ""unsinkable"" Titanic faces the fate of sinking, and the budding love between Rose and Jack will also experience the test of life and death.",Drama/Romance/Disaster,https://www.imdb.com/title/tt0120338,English / Italian / German / Russian,194分钟,
6,Spirited Away,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,Japan,2019-06-21(中国大陆),Hayao Miyazaki,"['Rumi Hiiragi', 'Freedom to enter the field', 'Mari Natsuki', 'Bunta Sugawara', 'Akio Nakamura', 'Yumi Tamai', 'Ryuunosuke Kamiki', 'Tsushi Naito', 'Yasuko Sawaguchi', 'Tatsuya Gashuin', 'Oizumi Hiro', 'Ikuo Kobayashi', 'Tsunehiko Kamijou', 'Takehiko Ono']",9.4,"Chihiro drove to her new home with her parents and accidentally entered a mysterious tunnel on a suburban road - they went to another strange world - a medieval town. The smell of food wafted from the distance. Mom and Dad feasted, but then they turned into pigs! At this time, many strange-looking, translucent people gradually came to the town.
                                    
                                Qianxun escaped in a hurry, but a man named Xiaobai rescued him, fed her medicine to prevent her body from disappearing, and told her how to find Grandpa Boiler and Granny Yu, and that she must get a job so as not to be transformed into something else by magic.
                                    
                                With the help of Xiaobai, Qianxun was lucky enough to get a job as a handyman in the bathhouse. Gradually, she was no longer intimidated by those strange-looking people, and learned from Xiaoling that Xiaobai was a disciple of the vicious Tang Granny.
                                    
                                Once, Qianxun found that Xiaobai was injured by a group of white flying paper figures. In order to save the injured Xiaobai, she used the pills given to her by the River God to drive out the seal in Xiaobai's body and the goblin guarding the seal, but Xiaobai still did not wake up.
                                    
                                In order to save Xiaobai, Qianxun embarked on her adventure again.",Drama/Animation/Fantasy,https://www.imdb.com/title/tt0245429,Japanese,125分钟,
7,Schindler's List Schindler's List,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,USA,1993-11-30(华盛顿首映),Steven Spielberg,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagal', 'Albers Davids', 'Margotha ​​Goebel', 'Mark Ivanne', 'Beatrice Makola', 'André Severin', 'Friedrich von Thun', 'Kzisztof Rafter', 'Norbert Weisel']",9.5,"In 1939, Poland was under the rule of Nazi Germany, and the SS segregated the Jews. German businessman Oscar Schindler (Liam Neeson) came to Krakow under German rule and opened an enamel factory to produce military supplies. With his outstanding social skills and a large amount of money, Schindler established a good relationship with the German army. His factory hired Jews to work and made a lot of war fortune.
                                    
                                In 1943, the Jews in Krakow suffered a tragic massacre. Schindler was greatly shocked when he witnessed all this. He bribed the officers to let his factory become a labor camp affiliated with the concentration camp. During those days of crazy massacre, his factory also became a refuge for Jews.
                                    
                                In 1944, on the eve of Germany's defeat, the massacre of Jews became more and more crazy. Schindler issued a list of 1,200 people to the German army officers and spent all his money to buy the lives of these Jews. In those dark days, to save one person was to save the whole world.",Drama/History/War,https://www.imdb.com/title/tt0108052,English / Hebrew / German / Polish,195分钟,
8,Inception,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,USA/UK,2010-09-01(中国大陆),Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy', 'Ken Watanabe', 'Dilip Rau', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite', 'Michael Caine', 'Lucas Haas', 'Lee Taili', 'Clare Geary', 'Magnus Nolan', 'Tyler Gilley', 'Jonathan Gill', 'Shirou Mizugen', 'Tamaji Okamoto', 'Earl Cameron', 'Ryan Hayward', 'Miranda Nolan', 'Rush Fegar', 'Tim Kolleh', 'Dalula Riley']",9.3,"Dom Cobb (Leonardo DiCaprio), colleagues Arthur (Joseph Gordon-Levitt) and Nash (Lukas Haas) failed in a dream-stealing operation against Japanese energy tycoon Saito (Watanabe Ken), but were used by Saito. Saito coerced and induced Cobb, who was wanted and was in exile overseas, to help him split up his rival's company, and took extreme measures to plant the idea of ​​abandoning the family company and starting his own business in the deep subconscious mind of his sole heir, Robert Fisher (Cillian Murphy). In order to return to the United States, Cobb secretly turns to his father-in-law Miles (Michael Caine), and recruits young dream designer Ariadne (Ellen Page), dream actor Ames (Tom Hardy) and pharmacist Joseph (Dileep Rao) to join the action. layer by layer...",Drama/Science Fiction/Suspense/Adventure,https://www.imdb.com/title/tt1375666,English/Japanese/French,148分钟,
9,Hachi: A Dog's Tale,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,USA/UK,2009-06-13(西雅图电影节),Lars Hallström,"['Richard Gere', 'Sarah Romer', 'Joan Allen', 'Robbie Sublett', 'Eric Avali', 'Hiroyuki Tagawa', 'Jason Alexander', 'Robert Capron']",9.4,"Hachiko (Forest) is a mysterious dog because no one knows where he came from. Professor Parker (played by Richard Gere) picks up a lost puppy at a train station in a small town. It seems destined that the puppy and Professor Parker are destined to have some kind of fate. Hachiko grew up slowly under Parker's care. Hachiko would always take him to the station when Parker was at work, and Hachiko would crawl to the station early to wait when he got off work. Hachiko's loyalty made people in the town love him even more. One day, Hachiko behaved abnormally when Parker was about to go to work. He actually played a ball-picking game that he had never played before. Parker was very satisfied with Hachiko's performance, but that day, Parker died of illness. Parker's wife, daughter Andy (played by Sarah Roemer) and son-in-law Michael (played by Robbie Sublett) buried Parker with extremely heavy hearts, but the unknown...",plot,https://www.imdb.com/title/tt1028532,English/Japanese,93分钟,
